sub_id,cond,T1,T2,T3,T4
1A001,CT,1:30:20 PM,1:57:06 PM,2:13:44 PM,2:18:20 PM
1A002,CT,2:05:55 PM,2:34:44 PM,2:49:45 PM,2:57:15 PM
1A003,CT,3:02:00 PM,3:42:00 PM,4:02:00 PM,4:08:00 PM
1A005,CT,3:14:58 PM,3:42:39 PM,3:57:56 PM,4:01:50 PM
1A006,CT,3:04:15 PM,3:35:51 PM,3:51:21 PM,3:56:20 PM
1A009,CT,4:50:12 PM,5:20:00 PM,5:38:00 PM,5:45:32 PM
1A012,CT,3:25:26 PM,3:57:35 PM,4:14:40 PM,4:18:00 PM
1A013,CT,2:03:40 PM,2:38:30 PM,2:55:50 PM,2:59:30 PM
1A014,CT,3:52:46 PM,4:24:00 PM,4:38:20 PM,4:41:00 PM
1A018,CT,4:36:20 PM,5:05:50 PM,5:21:40 PM,5:24:10 PM
1A019,CT,3:17:02 PM,3:46:22 PM,4:01:00 PM,4:04:30 PM
1A020,CT,4:52:00 PM,5:27:30 PM,5:43:00 PM,5:46:00 PM
1A021,CT,1:46:30 PM,2:20:04 PM,2:36:50 PM,2:40:40 PM
1A027,CT,1:51:30 PM,2:19:55 PM,2:34:10 PM,2:37:25 PM
1A028,CT,4:46:30 PM,5:15:45 PM,5:30:20 PM,5:33:20 PM
1A030,CT,3:28:00 PM,4:03:40 PM,4:19:40 PM,4:24:00 PM
1A035,CT,4:47:20 PM,5:17:40 PM,5:32:25 PM,5:35:15 PM
1A039,CT,1:50:40 PM,2:17:00 PM,2:31:39 PM,2:34:41 PM
1B004,CT,1:56:27 PM,2:19:49 PM,2:33:22 PM,2:39:12 PM
1B007,CT,4:16:52 PM,4:44:33 PM,4:59:59 PM,5:06:00 PM
1B008,CT,1:40:16 PM,1:55:10 PM,2:13:15 PM,2:17:35 PM
1B010,CT,3:20:00 PM,3:40:40 PM,3:54:00 PM,3:57:00 PM
1B011,CT,4:19:32 PM,4:45:55 PM,4:59:38 PM,5:02:45 PM
1B015,CT,2:17:00 PM,2:42:00 PM,2:55:50 PM,2:59:00 PM
1B016,CT,4:02:35 PM,4:34:00 PM,4:48:20 PM,4:52:30 PM
1B017,CT,1:55:30 PM,2:20:30 PM,2:37:00 PM,2:40:00 PM
1B022,CT,3:22:00 PM,3:48:00 PM,4:05:00 PM,4:08:59 PM
1B023,CT,4:33:30 PM,4:58:00 PM,5:12:45 PM,5:17:00 PM
1B026,CT,1:48:30 PM,2:11:50 PM,2:27:30 PM,2:31:40 PM
1B033,CT,3:26:00 PM,3:47:00 PM,4:00:30 PM,4:04:30 PM
1B034,CT,1:54:30 PM,2:21:37 PM,2:35:26 PM,2:39:25 PM
2A029,CT,3:16:00 PM,4:09:00 PM,4:29:00 PM,4:32:40 PM
2A038,CT,3:16:00 PM,4:00:00 PM,4:19:00 PM,4:21:00 PM
2B031,CT,3:04:41 PM,3:26:30 PM,3:40:10 PM,3:42:57 PM
2B036,CT,3:17:50 PM,3:46:50 PM,4:06:30 PM,4:10:40 PM
1A001,ST,1:28:10 PM,1:54:38 PM,2:09:02 PM,2:14:00 PM
1A002,ST,1:18:59 PM,3:13:06 PM,3:29:03 PM,3:35:55 PM
1A003,ST,2:51:40 PM,3:19:17 PM,3:34:02 PM,3:39:50 PM
1A005,ST,3:19:21 PM,3:43:19 PM,3:58:52 PM,4:01:50 PM
1A006,ST,2:29:29 PM,3:04:56 PM,3:20:00 PM,3:26:30 PM
1A009,ST,4:54:30 PM,5:18:23 PM,5:34:18 PM,5:37:30 PM
1A012,ST,3:22:15 PM,3:49:21 PM,4:04:05 PM,4:05:15 PM
1A013,ST,3:24:58 PM,3:51:53 PM,4:07:15 PM,4:10:10 PM
1A014,ST,2:41:00 PM,3:12:56 PM,3:28:06 PM,3:31:00 PM
1A018,ST,4:54:45 PM,5:21:40 PM,5:37:10 PM,5:40:20 PM
1A019,ST,2:31:45 PM,3:00:59 PM,3:15:12 PM,3:20:30 PM
1A020,ST,4:54:30 PM,5:25:30 PM,5:41:34 PM,5:45:40 PM
1A021,ST,1:56:30 PM,2:31:43 PM,2:55:30 PM,3:00:00 PM
1A027,ST,3:28:25 PM,3:53:54 PM,4:09:16 PM,4:12:00 PM
1A028,ST,4:45:00 PM,5:17:10 PM,5:32:26 PM,5:35:50 PM
1A030,ST,2:06:30 PM,2:34:50 PM,2:50:33 PM,2:53:37 PM
1A035,ST,4:56:06 PM,5:25:44 PM,5:40:00 PM,5:43:02 PM
1A039,ST,1:50:30 PM,2:20:10 PM,2:35:30 PM,2:38:26 PM
1B004,ST,1:52:45 PM,2:28:03 PM,2:43:22 PM,2:47:50 PM
1B007,ST,4:19:45 PM,4:55:12 PM,5:13:03 PM,5:19:39 PM
1B008,ST,1:25:20 PM,1:51:21 PM,2:05:44 PM,2:08:50 PM
1B010,ST,3:21:19 PM,3:59:51 PM,4:13:43 PM,4:14:10 PM
1B011,ST,1:49:04 PM,2:29:12 PM,2:47:09 PM,2:52:00 PM
1B015,ST,2:00:03 PM,2:23:32 PM,2:36:56 PM,2:40:20 PM
1B016,ST,2:32:44 PM,3:19:26 PM,3:38:17 PM,3:47:52 PM
1B017,ST,1:42:40 PM,2:18:48 PM,2:35:10 PM,2:37:50 PM
1B022,ST,3:43:30 PM,4:23:43 PM,4:39:40 PM,4:43:00 PM
1B023,ST,4:56:30 PM,5:37:55 PM,5:52:56 PM,5:56:00 PM
1B026,ST,1:48:53 PM,2:35:43 PM,2:50:00 PM,2:53:00 PM
1B033,ST,5:01:50 PM,5:33:24 PM,5:48:48 PM,5:51:50 PM
1B034,ST,1:55:00 PM,2:31:40 PM,2:50:00 PM,2:53:10 PM
2A029,ST,3:13:50 PM,3:53:08 PM,4:08:51 PM,4:11:30 PM
2A038,ST,3:08:24 PM,3:36:35 PM,3:51:57 PM,3:55:10 PM
2B031,ST,3:18:30 PM,3:47:53 PM,4:02:24 PM,4:05:52 PM
2B036,ST,3:15:00 PM,3:56:45 PM,4:14:10 PM,4:16:50 PM
