,sub_id,cond,bet_win,bet_loss
1,1A002,CT,5.70606244,1.615549047
1,1A002,ST,3.52211562,1.142910739
2,1A005,CT,3.020632308,1.719185931
2,1A005,ST,2.600420988,2.287299026
3,1A009,CT,4.310240582,2.811493834
3,1A009,ST,4.916268265,2.684795665
4,1A013,CT,6.775645533,3.708903299
4,1A013,ST,7.804470693,6.144537398
5,1A014,CT,2.507774847,2.792214299
5,1A014,ST,3.227383585,2.098007991
6,1A018,CT,6.308267498,5.157521166
6,1A018,ST,5.40488079,6.512796323
7,1A019,CT,6.995208962,5.090221894
7,1A019,ST,9.552167016,3.405974061
8,1A020,CT,2.288451639,1.144000879
8,1A020,ST,4.748705831,4.645869491
9,1A027,CT,19.00825665,5.014689359
9,1A027,ST,22.6092946,17.64420156
10,1A028,CT,1.791196975,1.69227047
10,1A028,ST,3.637933106,2.787902179
11,1A030,CT,3.126222825,2.696685613
11,1A030,ST,2.668089907,3.189608082
12,1A039,CT,8.88156732,6.962065927
12,1A039,ST,8.357977776,3.067728382
13,1A042,CT,3.870387759,2.130817198
13,1A042,ST,4.588117374,3.102782134
14,1B007,CT,4.620953837,1.760289768
14,1B007,ST,4.998710124,0.754970637
15,1B008,CT,10.93811984,6.591076924
15,1B008,ST,8.317508733,4.631157667
16,1B010,CT,5.384313842,2.535775817
16,1B010,ST,6.828555136,2.665386538
17,1B015,CT,5.058371482,3.591220295
17,1B015,ST,5.830036365,3.148961443
18,1B016,CT,8.264016413,2.403306098
18,1B016,ST,7.227314865,1.641429227
19,1B017,CT,8.3381148,3.526470258
19,1B017,ST,5.156762043,2.915795018
20,1B022,CT,3.169937166,1.723533433
20,1B022,ST,3.636658783,1.270394575
21,1B023,CT,6.007074044,4.191419596
21,1B023,ST,6.505259102,1.580886626
22,1B026,CT,6.021295629,2.907001752
22,1B026,ST,3.525073702,3.963794324
23,1B033,CT,6.248125923,6.010278625
23,1B033,ST,6.489783666,2.770585721
24,1B034,CT,7.568338195,10.29314948
24,1B034,ST,6.188933882,5.196604012
25,1B052,CT,6.32445229,10.89108203
25,1B052,ST,5.942864021,7.866682728
26,1B053,CT,5.919193184,1.668870955
26,1B053,ST,4.965969073,0.806769934
27,1B056,CT,17.61137491,5.056084623
27,1B056,ST,19.46840347,7.224407714
28,1B057,CT,8.912333934,6.374413278
28,1B057,ST,13.99794256,7.288706225
