sub_idx,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4
1,1,1,0,0,0,NaN,NaN,NaN,NaN
1,1,2,0,1,1,-0,NaN,NaN,NaN
1,1,3,0,0,0,0,-0,NaN,NaN
1,1,4,0,0,0,-0,0,-0,NaN
1,1,5,0,1,1,-0,-0,0,-0
1,1,6,0,1,1,0,-0,-0,0
1,1,7,1,1,1,0,0,-0,-0
1,1,8,1,1,1,1,0,0,-0
1,1,9,1,1,1,1,1,0,0
1,1,10,1,1,1,1,1,1,0
1,1,11,1,1,1,1,1,1,1
1,1,12,0,0,0,1,1,1,1
1,1,13,0,0,0,-0,1,1,1
1,1,14,0,0,0,-0,-0,1,1
1,1,15,0,0,0,-0,-0,-0,1
1,1,16,0,0,0,-0,-0,-0,-0
1,1,17,0,0,0,-0,-0,-0,-0
1,1,18,0,0,0,-0,-0,-0,-0
1,1,19,1,1,1,-0,-0,-0,-0
1,1,20,1,1,1,1,-0,-0,-0
1,1,21,0,0,0,1,1,-0,-0
1,1,22,0,0,0,-0,1,1,-0
1,1,23,1,1,1,-0,-0,1,1
1,1,24,1,0,0,1,-0,-0,1
1,1,25,1,1,1,-1,1,-0,-0
1,1,26,1,1,1,1,-1,1,-0
1,1,27,0,0,0,1,1,-1,1
1,1,28,1,1,1,-0,1,1,-1
1,1,29,1,0,0,1,-0,1,1
1,1,30,0,0,0,-1,1,-0,1
1,1,31,0,0,0,-0,-1,1,-0
1,1,32,0,0,0,-0,-0,-1,1
1,1,33,1,0,0,-0,-0,-0,-1
1,1,34,1,0,0,-1,-0,-0,-0
1,1,35,0,0,0,-1,-1,-0,-0
1,1,36,0,0,0,-0,-1,-1,-0
1,1,37,1,1,1,-0,-0,-1,-1
1,1,38,0,0,0,1,-0,-0,-1
1,1,39,1,0,0,-0,1,-0,-0
1,1,40,0,0,0,-1,-0,1,-0
1,1,41,0,0,0,-0,-1,-0,1
1,1,42,1,0,0,-0,-0,-1,-0
1,1,43,0,0,0,-1,-0,-0,-1
1,1,44,1,1,1,-0,-1,-0,-0
1,1,45,1,1,1,1,-0,-1,-0
1,1,46,0,1,1,1,1,-0,-1
1,1,47,1,0,0,0,1,1,-0
1,1,48,0,0,0,-1,0,1,1
1,1,49,0,0,0,-0,-1,0,1
1,1,50,0,0,0,-0,-0,-1,0
1,1,51,1,0,0,-0,-0,-0,-1
1,1,52,0,0,0,-1,-0,-0,-0
1,1,53,0,0,0,-0,-1,-0,-0
1,1,54,1,1,1,-0,-0,-1,-0
1,1,55,0,0,0,1,-0,-0,-1
1,1,56,0,1,0,-0,1,-0,-0
1,1,57,0,1,0,0,-0,1,-0
1,1,58,0,1,0,0,0,-0,1
1,1,59,1,0,1,0,0,0,-0
1,1,60,0,1,0,-1,0,0,0
1,1,61,0,1,0,0,-1,0,0
1,1,62,1,0,1,0,0,-1,0
1,1,63,1,1,0,-1,0,0,-1
1,1,64,1,1,0,1,-1,0,0
1,1,65,1,0,1,1,1,-1,0
1,1,66,1,0,1,-1,1,1,-1
1,1,67,1,0,1,-1,-1,1,1
1,1,68,0,1,0,-1,-1,-1,1
1,1,69,0,1,0,0,-1,-1,-1
1,1,70,1,0,1,0,0,-1,-1
1,1,71,0,1,1,-1,0,0,-1
1,1,72,1,1,1,0,-1,0,0
1,1,73,1,1,1,1,0,-1,0
1,1,74,0,0,0,1,1,0,-1
1,1,75,0,1,1,-0,1,1,0
1,1,76,1,1,1,0,-0,1,1
1,1,77,0,0,0,1,0,-0,1
1,1,78,0,0,0,-0,1,0,-0
1,1,79,0,1,1,-0,-0,1,0
1,1,80,0,0,0,0,-0,-0,1
1,1,81,1,1,1,-0,0,-0,-0
1,1,82,0,0,0,1,-0,0,-0
1,1,83,1,1,1,-0,1,-0,0
1,1,84,0,0,0,1,-0,1,-0
1,1,85,1,1,1,-0,1,-0,1
1,1,86,1,1,1,1,-0,1,-0
1,1,87,0,0,0,1,1,-0,1
1,1,88,0,0,0,-0,1,1,-0
1,1,89,0,0,0,-0,-0,1,1
1,1,90,0,0,0,-0,-0,-0,1
1,1,91,0,1,0,-0,-0,-0,-0
1,1,92,1,0,1,0,-0,-0,-0
