sub_idx,Cond,Order,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4,loseshift_t1,loseshift_t2,loseshift_t3,loseshift_t4,RT
1,2,1,1,1,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.745739507591679
1,2,1,1,2,1,0,1,-1,NaN,NaN,NaN,0,NaN,NaN,NaN,0.629755926205689
1,2,1,1,3,1,0,1,-1,-1,NaN,NaN,0,0,NaN,NaN,0.689797074489434
1,2,1,1,4,1,0,1,-1,-1,-1,NaN,0,0,0,NaN,0.612831001056293
1,2,1,1,5,1,1,0,-1,-1,-1,-1,0,0,0,0,0.398312450545291
1,2,1,1,6,1,0,1,1,-1,-1,-1,-0,0,0,0,0.620190153175827
1,2,1,1,7,1,0,1,-1,1,-1,-1,0,-0,0,0,0.377814246952767
1,2,1,1,8,1,1,0,-1,-1,1,-1,0,0,-0,0,0.364668182608057
1,2,1,1,9,1,0,1,1,-1,-1,1,-0,0,0,-0,0.437846007204371
1,2,1,1,10,1,1,0,-1,1,-1,-1,0,-0,0,0,0.549476361005418
1,2,1,1,11,1,0,1,1,-1,1,-1,-0,0,-0,0,0.774538628769278
1,2,1,1,12,1,0,1,-1,1,-1,1,0,-0,0,-0,0.615034241673129
1,2,1,1,13,1,0,1,-1,-1,1,-1,0,0,-0,0,0.432916455704799
1,2,1,1,14,1,0,1,-1,-1,-1,1,0,0,0,-0,0.5340582078029
1,2,1,1,15,1,0,1,-1,-1,-1,-1,0,0,0,0,0.546556197203699
1,2,1,1,16,1,0,1,-1,-1,-1,-1,0,0,0,0,0.537017380306224
1,2,1,1,17,0,1,0,-1,-1,-1,-1,0,0,0,0,0.43210697745144
1,2,1,1,18,1,0,1,0,-1,-1,-1,-1,0,0,0,0.521734330557592
1,2,1,1,19,1,0,1,-1,0,-1,-1,0,-1,0,0,0.455859888593295
1,2,1,1,20,0,0,1,-1,-1,0,-1,0,0,-1,0,0.663905250882181
1,2,1,1,21,0,1,0,-0,-1,-1,0,1,0,0,-1,0.39933221236106
1,2,1,1,22,1,1,0,0,-0,-1,-1,-1,1,0,0,0.379857376763994
1,2,1,1,23,1,0,1,1,0,-0,-1,-0,-1,1,0,0.475111073500102
1,2,1,1,24,1,0,1,-1,1,0,-0,0,-0,-1,1,0.424861950318245
1,2,1,1,25,0,1,0,-1,-1,1,0,0,0,-0,-1,0.532026794068315
1,2,1,1,26,0,1,0,0,-1,-1,1,-1,0,0,-0,0.359411571388137
1,2,1,1,27,0,1,0,0,0,-1,-1,-1,-1,0,0,0.396409878234863
1,2,1,1,28,1,0,1,0,0,0,-1,-1,-1,-1,0,0.540850875147044
1,2,1,1,29,1,0,1,-1,0,0,0,0,-1,-1,-1,0.516182439919248
1,2,1,1,30,0,1,0,-1,-1,0,0,0,0,-1,-1,0.643115980204584
1,2,1,1,31,0,1,0,0,-1,-1,0,-1,0,0,-1,0.420819718375697
1,2,1,1,32,1,1,0,0,0,-1,-1,-1,-1,0,0,0.523426895650573
1,2,1,1,33,1,0,1,1,0,0,-1,-0,-1,-1,0,0.54955876583881
1,2,1,1,34,0,0,1,-1,1,0,0,0,-0,-1,-1,0.624097526598689
1,2,1,1,35,0,1,0,-0,-1,1,0,1,0,-0,-1,0.439596604336202
1,2,1,1,36,1,0,1,0,-0,-1,1,-1,1,0,-0,0.447788965595464
1,2,1,1,37,1,0,1,-1,0,-0,-1,0,-1,1,0,0.484003762564498
1,2,1,1,38,1,0,1,-1,-1,0,-0,0,0,-1,1,0.523951507698712
1,2,1,1,39,1,0,1,-1,-1,-1,0,0,0,0,-1,0.495288530528342
1,2,1,1,40,1,0,1,-1,-1,-1,-1,0,0,0,0,0.736315093696703
1,2,1,1,41,1,0,1,-1,-1,-1,-1,0,0,0,0,0.512567125347232
1,2,1,1,42,1,0,1,-1,-1,-1,-1,0,0,0,0,0.569001174548248
1,2,1,1,43,1,0,1,-1,-1,-1,-1,0,0,0,0,0.573017533014081
1,2,1,1,44,0,0,1,-1,-1,-1,-1,0,0,0,0,0.520021919776809
1,2,1,1,45,1,0,1,-0,-1,-1,-1,1,0,0,0,0.40953309886936
1,2,1,1,46,1,0,1,-1,-0,-1,-1,0,1,0,0,0.793217291422025
1,2,1,1,47,1,0,1,-1,-1,-0,-1,0,0,1,0,0.649881576133339
1,2,1,1,48,1,0,1,-1,-1,-1,-0,0,0,0,1,0.652197841036468
1,2,1,1,49,1,0,1,-1,-1,-1,-1,0,0,0,0,0.753171798813128
1,2,1,1,50,1,0,1,-1,-1,-1,-1,0,0,0,0,0.394047346824209
1,2,1,1,51,0,0,1,-1,-1,-1,-1,0,0,0,0,0.415674896412384
1,2,1,1,52,0,1,0,-0,-1,-1,-1,1,0,0,0,0.35483449963931
1,2,1,1,53,1,1,0,0,-0,-1,-1,-1,1,0,0,0.362112201935361
1,2,1,1,54,0,0,1,1,0,-0,-1,-0,-1,1,0,0.64493427876414
1,2,1,1,55,1,0,1,-0,1,0,-0,1,-0,-1,1,0.570937502673587
1,2,1,1,56,0,0,0,-1,-0,1,0,0,1,-0,-1,0.480850571736028
1,2,1,1,57,1,1,1,-0,-1,-0,1,1,0,1,-0,0.651240628007599
1,2,1,1,58,1,0,0,1,-0,-1,-0,-0,1,0,1,0.889964617528676
1,2,1,1,59,0,0,0,-1,1,-0,-1,0,-0,1,0,0.433423121391115
1,2,1,1,60,0,0,0,-0,-1,1,-0,1,0,-0,1,0.450260158254878
1,2,1,1,61,1,1,1,-0,-0,-1,1,1,1,0,-0,0.541494596744087
1,2,1,1,62,0,0,0,1,-0,-0,-1,-0,1,1,0,0.638066953258658
1,2,1,1,63,1,0,0,-0,1,-0,-0,1,-0,1,1,0.416004079341292
1,2,1,1,64,1,1,1,-1,-0,1,-0,0,1,-0,1,0.598260502432368
1,2,1,1,65,1,1,1,1,-1,-0,1,-0,0,1,-0,0.696893948153047
1,2,1,1,66,0,0,0,1,1,-1,-0,-0,-0,0,1,0.462704979549926
1,2,1,1,67,0,0,0,-0,1,1,-1,1,-0,-0,0,0.349611463457222
1,2,1,1,68,0,0,0,-0,-0,1,1,1,1,-0,-0,0.378133046407129
1,2,1,1,69,1,1,1,-0,-0,-0,1,1,1,1,-0,0.351980435334553
1,2,1,1,70,1,1,1,1,-0,-0,-0,-0,1,1,1,0.694119975339618
1,2,1,1,71,0,1,0,1,1,-0,-0,-0,-0,1,1,0.483478175791333
1,2,1,1,72,1,1,0,0,1,1,-0,-1,-0,-0,1,0.70346012951768
1,2,1,1,73,0,1,0,1,0,1,1,-0,-1,-0,-0,0.690199862663121
1,2,1,1,74,1,0,1,0,1,0,1,-1,-0,-1,-0,0.735042982784307
1,2,1,1,75,0,1,0,-1,0,1,0,0,-1,-0,-1,0.614490885973737
1,2,1,1,76,0,1,0,0,-1,0,1,-1,0,-1,-0,0.453063896760341
1,2,1,1,77,1,0,1,0,0,-1,0,-1,-1,0,-1,0.505496676847088
1,2,1,1,78,0,1,0,-1,0,0,-1,0,-1,-1,0,1.05693987348968
1,2,1,1,79,1,1,0,0,-1,0,0,-1,0,-1,-1,0.665688834273169
1,2,1,1,80,0,1,0,1,0,-1,0,-0,-1,0,-1,0.709307913748489
1,2,1,1,81,1,0,1,0,1,0,-1,-1,-0,-1,0,0.48068496043652
1,2,1,1,82,1,0,1,-1,0,1,0,0,-1,-0,-1,0.578224665178368
1,2,1,1,83,0,0,1,-1,-1,0,1,0,0,-1,-0,0.696870575812682
1,2,1,1,84,1,0,1,-0,-1,-1,0,1,0,0,-1,0.513032402159752
1,2,1,1,85,1,0,1,-1,-0,-1,-1,0,1,0,0,0.746625052461695
1,2,1,1,86,1,0,1,-1,-1,-0,-1,0,0,1,0,0.689436550337177
1,2,1,1,87,0,0,1,-1,-1,-1,-0,0,0,0,1,0.561740090689
1,2,1,1,88,1,0,1,-0,-1,-1,-1,1,0,0,0,0.423761786583327
1,2,1,1,89,1,0,1,-1,-0,-1,-1,0,1,0,0,0.615286603132972
1,2,1,1,90,0,0,1,-1,-1,-0,-1,0,0,1,0,0.846351667757972
1,2,1,1,91,1,0,0,-0,-1,-1,-0,1,0,0,1,0.364207702898057
1,2,1,1,92,0,0,0,-1,-0,-1,-1,0,1,0,0,0.623713980966386
1,2,1,1,93,0,0,0,-0,-1,-0,-1,1,0,1,0,0.432379739293992
1,2,1,1,94,0,0,0,-0,-0,-1,-0,1,1,0,1,0.681765848882605
1,2,1,1,95,0,0,0,-0,-0,-0,-1,1,1,1,0,0.902901758982352
1,2,1,1,96,0,0,0,-0,-0,-0,-0,1,1,1,1,0.539739365577134
1,2,1,1,97,1,1,1,-0,-0,-0,-0,1,1,1,1,0.578715502031628
1,2,1,1,98,1,1,1,1,-0,-0,-0,-0,1,1,1,0.65913459955118
1,2,1,1,99,0,0,0,1,1,-0,-0,-0,-0,1,1,0.813201817458776
1,2,1,1,100,1,1,1,-0,1,1,-0,1,-0,-0,1,0.575993869960712
1,2,1,1,101,0,0,0,1,-0,1,1,-0,1,-0,-0,0.429260030274236
1,2,1,1,102,0,0,0,-0,1,-0,1,1,-0,1,-0,0.633570274072554
1,2,1,1,103,0,0,0,-0,-0,1,-0,1,1,-0,1,0.585053894554221
1,2,1,1,104,0,0,0,-0,-0,-0,1,1,1,1,-0,0.541271058329585
1,2,1,1,105,1,1,1,-0,-0,-0,-0,1,1,1,1,0.575676303531509
1,2,1,1,106,0,1,0,1,-0,-0,-0,-0,1,1,1,0.687159734214219
1,2,1,1,107,0,1,0,0,1,-0,-0,-1,-0,1,1,0.710313658843006
1,2,1,1,108,1,0,1,0,0,1,-0,-1,-1,-0,1,0.561737075959627
1,2,1,1,109,1,0,1,-1,0,0,1,0,-1,-1,-0,0.73292794422332
1,2,1,1,110,1,0,1,-1,-1,0,0,0,0,-1,-1,0.588409604897151
1,2,1,1,111,1,0,1,-1,-1,-1,0,0,0,0,-1,0.449631896920437
1,2,1,1,112,0,0,1,-1,-1,-1,-1,0,0,0,0,0.45574050102914
1,2,1,1,113,1,0,1,-0,-1,-1,-1,1,0,0,0,0.381117327844549
