sub_idx,Cond,Order,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4,loseshift_t1,loseshift_t2,loseshift_t3,loseshift_t4,RT
1,2,1,1,1,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.745739508
1,2,1,1,2,1,0,1,-1,NaN,NaN,NaN,0,NaN,NaN,NaN,0.629755926
1,2,1,1,3,1,0,1,-1,-1,NaN,NaN,0,0,NaN,NaN,0.689797074
1,2,1,1,4,1,0,1,-1,-1,-1,NaN,0,0,0,NaN,0.612831001
1,2,1,1,5,1,1,0,-1,-1,-1,-1,0,0,0,0,0.398312451
1,2,1,1,6,1,0,1,1,-1,-1,-1,0,0,0,0,0.620190153
1,2,1,1,7,1,0,1,-1,1,-1,-1,0,0,0,0,0.377814247
1,2,1,1,8,1,1,0,-1,-1,1,-1,0,0,0,0,0.364668183
1,2,1,1,9,1,0,1,1,-1,-1,1,0,0,0,0,0.437846007
1,2,1,1,10,1,1,0,-1,1,-1,-1,0,0,0,0,0.549476361
1,2,1,1,11,1,0,1,1,-1,1,-1,0,0,0,0,0.774538629
1,2,1,1,12,1,0,1,-1,1,-1,1,0,0,0,0,0.615034242
1,2,1,1,13,1,0,1,-1,-1,1,-1,0,0,0,0,0.432916456
1,2,1,1,14,1,0,1,-1,-1,-1,1,0,0,0,0,0.534058208
1,2,1,1,15,1,0,1,-1,-1,-1,-1,0,0,0,0,0.546556197
1,2,1,1,16,1,0,1,-1,-1,-1,-1,0,0,0,0,0.53701738
1,2,1,1,17,0,1,0,-1,-1,-1,-1,0,0,0,0,0.432106977
1,2,1,1,18,1,0,1,0,-1,-1,-1,-1,0,0,0,0.521734331
1,2,1,1,19,1,0,1,-1,0,-1,-1,0,-1,0,0,0.455859889
1,2,1,1,20,0,0,1,-1,-1,0,-1,0,0,-1,0,0.663905251
1,2,1,1,21,0,1,0,0,-1,-1,0,1,0,0,-1,0.399332212
1,2,1,1,22,1,1,0,0,0,-1,-1,-1,1,0,0,0.379857377
1,2,1,1,23,1,0,1,1,0,0,-1,0,-1,1,0,0.475111074
1,2,1,1,24,1,0,1,-1,1,0,0,0,0,-1,1,0.42486195
1,2,1,1,25,0,1,0,-1,-1,1,0,0,0,0,-1,0.532026794
1,2,1,1,26,0,1,0,0,-1,-1,1,-1,0,0,0,0.359411571
1,2,1,1,27,0,1,0,0,0,-1,-1,-1,-1,0,0,0.396409878
1,2,1,1,28,1,0,1,0,0,0,-1,-1,-1,-1,0,0.540850875
1,2,1,1,29,1,0,1,-1,0,0,0,0,-1,-1,-1,0.51618244
1,2,1,1,30,0,1,0,-1,-1,0,0,0,0,-1,-1,0.64311598
1,2,1,1,31,0,1,0,0,-1,-1,0,-1,0,0,-1,0.420819718
1,2,1,1,32,1,1,0,0,0,-1,-1,-1,-1,0,0,0.523426896
1,2,1,1,33,1,0,1,1,0,0,-1,0,-1,-1,0,0.549558766
1,2,1,1,34,0,0,1,-1,1,0,0,0,0,-1,-1,0.624097527
1,2,1,1,35,0,1,0,0,-1,1,0,1,0,0,-1,0.439596604
1,2,1,1,36,1,0,1,0,0,-1,1,-1,1,0,0,0.447788966
1,2,1,1,37,1,0,1,-1,0,0,-1,0,-1,1,0,0.484003763
1,2,1,1,38,1,0,1,-1,-1,0,0,0,0,-1,1,0.523951508
1,2,1,1,39,1,0,1,-1,-1,-1,0,0,0,0,-1,0.495288531
1,2,1,1,40,1,0,1,-1,-1,-1,-1,0,0,0,0,0.736315094
1,2,1,1,41,1,0,1,-1,-1,-1,-1,0,0,0,0,0.512567125
1,2,1,1,42,1,0,1,-1,-1,-1,-1,0,0,0,0,0.569001175
1,2,1,1,43,1,0,1,-1,-1,-1,-1,0,0,0,0,0.573017533
1,2,1,1,44,0,0,1,-1,-1,-1,-1,0,0,0,0,0.52002192
1,2,1,1,45,1,0,1,0,-1,-1,-1,1,0,0,0,0.409533099
1,2,1,1,46,1,0,1,-1,0,-1,-1,0,1,0,0,0.793217291
